DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/22/2016,9:00,QUEENS,11364,40.7431411,-73.7497988,"(40.7431411, -73.7497988)",73 AVENUE                       ,225 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3585749,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,9:00,,,40.7158492,-73.8099009,"(40.7158492, -73.8099009)",,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3588600,PICK-UP TRUCK,,,,
12/22/2016,9:00,,,,,,WEST 239 STREET                 ,HUDSON PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3584778,PASSENGER VEHICLE,PICK-UP TRUCK,,,
12/22/2016,9:00,,,,,,LIBERTY AVENUE                  ,LLOYD ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3588363,PASSENGER VEHICLE,,,,
12/22/2016,9:00,,,,,,FRONT STREET                    ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3585568,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,9:00,,,,,,FRANCIS LEWIS BOULEVARD         ,FOOTHILL AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3584725,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,9:00,,,,,,89-94 218th St                  ,217 street,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3585294,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
12/22/2016,9:00,,,,,,60 PLACE                        ,60 PL. ,,0,0,0,0,0,0,0,0,Failure to Keep Right,,,,,3584803,PASSENGER VEHICLE,,,,
12/22/2016,9:00,QUEENS,11435,40.6897098,-73.8042069,"(40.6897098, -73.8042069)",,,144-17    LUX ROAD                      ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3587319,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,9:00,BROOKLYN,11216,40.6868168,-73.9518129,"(40.6868168, -73.9518129)",,,246       QUINCY STREET                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3584713,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,9:00,BROOKLYN,11208,40.6619756,-73.8599872,"(40.6619756, -73.8599872)",,,922       FORBELL STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3585225,PASSENGER VEHICLE,,,,
12/22/2016,8:56,MANHATTAN,10013,40.7184302,-74.0005303,"(40.7184302, -74.0005303)",CANAL STREET                    ,LAFAYETTE STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3588195,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,8:55,,,,,,AMSTERDAM AVENUE                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3584902,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,8:50,BRONX,10472,40.8315477,-73.863421,"(40.8315477, -73.863421)",,,1253      LELAND AVENUE                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3586855,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,8:40,,,,,,AVENUE D                        ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3587772,PASSENGER VEHICLE,,,,
12/22/2016,8:37,,,,,,11 AVENUE                       ,,,1,0,0,0,0,0,2,0,Unspecified,,,,,3585428,PASSENGER VEHICLE,,,,
12/22/2016,8:37,MANHATTAN,10022,40.759308,-73.9652931,"(40.759308, -73.9652931)",EAST 57 STREET                  ,2 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3585002,TAXI,,,,
12/22/2016,8:37,,,,,,PITKIN AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3584866,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
12/22/2016,8:35,,,,,,,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3584903,PICK-UP TRUCK,PASSENGER VEHICLE,,,
12/22/2016,8:30,BROOKLYN,11212,40.670383,-73.9060323,"(40.670383, -73.9060323)",PITKIN AVENUE                   ,CHRISTOPHER AVENUE,,2,0,0,0,0,0,2,0,Unsafe Speed,Drugs (Illegal),Unspecified,Unspecified,,3584896,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/22/2016,8:30,QUEENS,11691,40.5996819,-73.7385754,"(40.5996819, -73.7385754)",READS LANE                      ,JARVIS AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3586457,,,,,
12/22/2016,8:30,,,40.7366548,-73.907888,"(40.7366548, -73.907888)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584859,PASSENGER VEHICLE,,,,
12/22/2016,8:30,QUEENS,11357,40.7886412,-73.8137206,"(40.7886412, -73.8137206)",,,14-03     150 STREET                    ,0,0,0,0,0,0,0,0,Illness,Unspecified,,,,3584665,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,8:30,MANHATTAN,10002,40.7142004,-73.995087,"(40.7142004, -73.995087)",,,40        DIVISION STREET               ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,Unsafe Lane Changing,Unsafe Lane Changing,,3592429,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
12/22/2016,8:30,MANHATTAN,10002,40.7142004,-73.995087,"(40.7142004, -73.995087)",,,40        DIVISION STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3592565,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,8:25,BROOKLYN,11203,40.6533268,-73.9382899,"(40.6533268, -73.9382899)",LINDEN BOULEVARD                ,EAST 42 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3586190,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,8:16,QUEENS,11385,40.7128434,-73.9045044,"(40.7128434, -73.9045044)",,,6040      Metropolitan Ave              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584801,PASSENGER VEHICLE,,,,
12/22/2016,8:15,,,,,,MAIN STREET                     ,141 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3584724,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,8:15,,,,,,81 AVENUE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585086,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,8:15,,,,,,8 AVENUE                        ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Oversized Vehicle,,,,3585426,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,8:15,QUEENS,11434,40.6746774,-73.7636721,"(40.6746774, -73.7636721)",,,136-17    FARMERS BOULEVARD             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3592719,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/22/2016,8:15,QUEENS,11429,40.7132852,-73.7357924,"(40.7132852, -73.7357924)",SPRINGFIELD BOULEVARD           ,HEMPSTEAD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3587668,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,8:15,BROOKLYN,11231,40.6764874,-73.9987274,"(40.6764874, -73.9987274)",COURT STREET                    ,NELSON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585013,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/22/2016,8:10,,,,,,AMSTERDAM AVENUE                ,,,1,0,0,0,0,0,1,0,Reaction to Other Uninvolved Vehicle,,,,,3584900,PASSENGER VEHICLE,,,,
12/22/2016,8:10,,,40.6924592,-73.7268654,"(40.6924592, -73.7268654)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Following Too Closely,,,,3584913,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,8:10,,,,,,215 PLACE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584740,PASSENGER VEHICLE,,,,
12/22/2016,8:10,MANHATTAN,10012,40.7214494,-73.9973989,"(40.7214494, -73.9973989)",KENMARE STREET                  ,CLEVELAND PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584669,PASSENGER VEHICLE,,,,
12/22/2016,8:07,MANHATTAN,10022,40.7609285,-73.969133,"(40.7609285, -73.969133)",EAST 57 STREET                  ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3585003,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,8:00,BROOKLYN,11217,40.6802669,-73.9746902,"(40.6802669, -73.9746902)",FLATBUSH AVENUE                 ,6 AVENUE,,1,0,0,0,0,0,1,0,Other Vehicular,Driver Inattention/Distraction,Unspecified,,,3584985,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,8:00,,,40.7366548,-73.907888,"(40.7366548, -73.907888)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3584860,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,8:00,MANHATTAN,10024,40.7914677,-73.9741062,"(40.7914677, -73.9741062)",BROADWAY                        ,WEST 91 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585241,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,8:00,MANHATTAN,10013,40.7165417,-73.9969843,"(40.7165417, -73.9969843)",ELIZABETH STREET                ,CANAL STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584710,,,,,
12/22/2016,8:00,BRONX,10472,40.8274851,-73.8677256,"(40.8274851, -73.8677256)",,,1744      WATSON AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3586853,PASSENGER VEHICLE,,,,
